"epoch","complex_kitti - _step","complex_kitti - _step__MIN","complex_kitti - _step__MAX","complex_kitti - train/mIOU_epoch","complex_kitti - train/mIOU_epoch__MIN","complex_kitti - train/mIOU_epoch__MAX","streetview-low_kitti - _step","streetview-low_kitti - _step__MIN","streetview-low_kitti - _step__MAX","streetview-low_kitti - train/mIOU_epoch","streetview-low_kitti - train/mIOU_epoch__MIN","streetview-low_kitti - train/mIOU_epoch__MAX","streetview-high_kitti - _step","streetview-high_kitti - _step__MIN","streetview-high_kitti - _step__MAX","streetview-high_kitti - train/mIOU_epoch","streetview-high_kitti - train/mIOU_epoch__MIN","streetview-high_kitti - train/mIOU_epoch__MAX","KITTI - _step","KITTI - _step__MIN","KITTI - _step__MAX","KITTI - train/mIOU_epoch","KITTI - train/mIOU_epoch__MIN","KITTI - train/mIOU_epoch__MAX","cameraview_low_kitti - _step","cameraview_low_kitti - _step__MIN","cameraview_low_kitti - _step__MAX","cameraview_low_kitti - train/mIOU_epoch","cameraview_low_kitti - train/mIOU_epoch__MIN","cameraview_low_kitti - train/mIOU_epoch__MAX","cameraview_high_kitti - _step","cameraview_high_kitti - _step__MIN","cameraview_high_kitti - _step__MAX","cameraview_high_kitti - train/mIOU_epoch","cameraview_high_kitti - train/mIOU_epoch__MIN","cameraview_high_kitti - train/mIOU_epoch__MAX","citiscape_kitti - _step","citiscape_kitti - _step__MIN","citiscape_kitti - _step__MAX","citiscape_kitti - train/mIOU_epoch","citiscape_kitti - train/mIOU_epoch__MIN","citiscape_kitti - train/mIOU_epoch__MAX"
"11","152","152","152","0.24563243985176086","0.24563243985176086","0.24563243985176086","152","152","152","0.24759729206562042","0.24759729206562042","0.24759729206562042","152","152","152","0.24360652267932892","0.24360652267932892","0.24360652267932892","152","152","152","0.1806182563304901","0.1806182563304901","0.1806182563304901","152","152","152","0.2070722132921219","0.2070722132921219","0.2070722132921219","152","152","152","0.23617622256278992","0.23617622256278992","0.23617622256278992","152","152","152","0.30100899934768677","0.30100899934768677","0.30100899934768677"
"12","165","165","165","0.2527724802494049","0.2527724802494049","0.2527724802494049","165","165","165","0.2531464099884033","0.2531464099884033","0.2531464099884033","165","165","165","0.2410936802625656","0.2410936802625656","0.2410936802625656","165","165","165","0.17601628601551056","0.17601628601551056","0.17601628601551056","165","165","165","0.2080821543931961","0.2080821543931961","0.2080821543931961","165","165","165","0.2336488664150238","0.2336488664150238","0.2336488664150238","165","165","165","0.29726144671440125","0.29726144671440125","0.29726144671440125"
"13","178","178","178","0.25119781494140625","0.25119781494140625","0.25119781494140625","178","178","178","0.24814864993095398","0.24814864993095398","0.24814864993095398","178","178","178","0.24324984848499298","0.24324984848499298","0.24324984848499298","178","178","178","0.18370990455150604","0.18370990455150604","0.18370990455150604","178","178","178","0.2062985599040985","0.2062985599040985","0.2062985599040985","178","178","178","0.23571562767028809","0.23571562767028809","0.23571562767028809","178","178","178","0.30580586194992065","0.30580586194992065","0.30580586194992065"
"14","191","191","191","0.2473469227552414","0.2473469227552414","0.2473469227552414","191","191","191","0.24359853565692902","0.24359853565692902","0.24359853565692902","191","191","191","0.23730048537254333","0.23730048537254333","0.23730048537254333","191","191","191","0.1900959312915802","0.1900959312915802","0.1900959312915802","191","191","191","0.2170650213956833","0.2170650213956833","0.2170650213956833","191","191","191","0.24565522372722626","0.24565522372722626","0.24565522372722626","191","191","191","0.3094021677970886","0.3094021677970886","0.3094021677970886"
"15","203","203","203","0.25013020634651184","0.25013020634651184","0.25013020634651184","203","203","203","0.24624662101268768","0.24624662101268768","0.24624662101268768","203","203","203","0.23855380713939667","0.23855380713939667","0.23855380713939667","203","203","203","0.20319148898124695","0.20319148898124695","0.20319148898124695","203","203","203","0.21979168057441711","0.21979168057441711","0.21979168057441711","203","203","203","0.245558500289917","0.245558500289917","0.245558500289917","203","203","203","0.31631070375442505","0.31631070375442505","0.31631070375442505"
"16","216","216","216","0.25729405879974365","0.25729405879974365","0.25729405879974365","216","216","216","0.25160425901412964","0.25160425901412964","0.25160425901412964","216","216","216","0.24706581234931946","0.24706581234931946","0.24706581234931946","216","216","216","0.21673743426799774","0.21673743426799774","0.21673743426799774","216","216","216","0.22095592319965363","0.22095592319965363","0.22095592319965363","216","216","216","0.24439749121665955","0.24439749121665955","0.24439749121665955","216","216","216","0.3097231984138489","0.3097231984138489","0.3097231984138489"
"17","229","229","229","0.24435289204120636","0.24435289204120636","0.24435289204120636","229","229","229","0.2540135085582733","0.2540135085582733","0.2540135085582733","229","229","229","0.24834999442100525","0.24834999442100525","0.24834999442100525","229","229","229","0.21199524402618408","0.21199524402618408","0.21199524402618408","229","229","229","0.22229449450969696","0.22229449450969696","0.22229449450969696","229","229","229","0.24272044003009796","0.24272044003009796","0.24272044003009796","229","229","229","0.30997973680496216","0.30997973680496216","0.30997973680496216"
"18","242","242","242","0.2548152208328247","0.2548152208328247","0.2548152208328247","242","242","242","0.25002244114875793","0.25002244114875793","0.25002244114875793","242","242","242","0.25228971242904663","0.25228971242904663","0.25228971242904663","242","242","242","0.2253955602645874","0.2253955602645874","0.2253955602645874","242","242","242","0.22966518998146057","0.22966518998146057","0.22966518998146057","242","242","242","0.24465441703796387","0.24465441703796387","0.24465441703796387","242","242","242","0.3014844059944153","0.3014844059944153","0.3014844059944153"
"19","255","255","255","0.2609390616416931","0.2609390616416931","0.2609390616416931","255","255","255","0.2553364932537079","0.2553364932537079","0.2553364932537079","255","255","255","0.2548704743385315","0.2548704743385315","0.2548704743385315","255","255","255","0.23386871814727783","0.23386871814727783","0.23386871814727783","255","255","255","0.24041637778282166","0.24041637778282166","0.24041637778282166","255","255","255","0.24500103294849396","0.24500103294849396","0.24500103294849396","255","255","255","0.3119456470012665","0.3119456470012665","0.3119456470012665"
"20","267","267","267","0.2657764256000519","0.2657764256000519","0.2657764256000519","267","267","267","0.2627488374710083","0.2627488374710083","0.2627488374710083","267","267","267","0.25169986486434937","0.25169986486434937","0.25169986486434937","267","267","267","0.23762407898902893","0.23762407898902893","0.23762407898902893","267","267","267","0.2520793080329895","0.2520793080329895","0.2520793080329895","267","267","267","0.25740736722946167","0.25740736722946167","0.25740736722946167","267","267","267","0.31290310621261597","0.31290310621261597","0.31290310621261597"
"21","280","280","280","0.2755400538444519","0.2755400538444519","0.2755400538444519","280","280","280","0.2628474831581116","0.2628474831581116","0.2628474831581116","280","280","280","0.2524941563606262","0.2524941563606262","0.2524941563606262","280","280","280","0.23938891291618347","0.23938891291618347","0.23938891291618347","280","280","280","0.2530614733695984","0.2530614733695984","0.2530614733695984","280","280","280","0.2633439302444458","0.2633439302444458","0.2633439302444458","280","280","280","0.3249981105327606","0.3249981105327606","0.3249981105327606"
